Names,2002,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2003,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2004,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2005,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2006,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2007,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2008,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2009,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2010,LL,UL,CI,SAMPLE SIZE,TARGET,2011,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2012,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2013,LL,UL,CI,SAMPLE SIZE,TARGET,2014,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2015,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2016,LL,UL,CI,SAMPLE SIZE,TARGET
Connecticut,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,7.1,4.4,11.3,(±3.4),274,,NaN,27.6,21.3,34.8,(±6.7),252,,NaN,60.0,52.1,67.5,(±7.8),227,,NaN,68.1,58.1,76.7,(±9.4),229,,NaN,81.1,74.6,86.2,(±5.8),247,,83.8,78.2,88.2,(±4.9),386,,NaN,93.1,89.1,95.7,(±3.2),281,,NaN,90.9,84.4,94.8,(±5.1),213,,91.6,85.4,95.3,(±4.8),237,,NaN,97.3,94.0,98.8,(±2.2),250,,NaN,91.2,86.0,94.5,(±4.2),267,
Delaware,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,5.7,3.5,9.2,(±2.8),235,,NaN,33.4,26.9,40.5,(±6.8),284,,NaN,70.7,63.6,76.9,(±6.7),290,,NaN,78.7,72.0,84.1,(±6),251,,NaN,87.0,82.2,90.6,(±4.2),347,,81.6,74.8,86.9,(±6.1),326,,NaN,89.5,83.8,93.3,(±4.7),266,,NaN,85.3,78.8,90.1,(±5.6),242,,88.3,82.2,92.5,(±5.1),257,,NaN,96.1,92.1,98.1,(±2.8),232,,NaN,91.3,86.3,94.6,(±4.1),222,
District of Columbia,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,10.1,7.0,14.2,(±3.6),311,,NaN,51.0,43.7,58.4,(±7.4),301,,NaN,73.8,66.9,79.7,(±6.4),269,,NaN,89.1,84.0,92.7,(±4.3),355,,NaN,96.3,93.7,97.9,(±2.0),260,,89.5,84.3,93.0,(±4.3),369,,NaN,90.4,85.2,93.9,(±4.3),320,,NaN,93.7,88.5,96.7,(±3.9),223,,92.8,87.5,95.9,(±4.1),280,,NaN,93.3,88.8,96.1,(±3.6),321,,NaN,93.6,88.7,96.5,(±3.7),309,
Florida,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,5.4,3.7,7.8,(±2),921,,NaN,34.2,28.0,40.9,(±6.5),521,,NaN,64.7,58.6,70.4,(±5.9),756,,NaN,72.7,66.3,78.2,(±5.9),326,,NaN,79.0,72.1,84.6,(±6.3),276,,78.0,72.0,83.1,(±5.6),346,,NaN,76.1,68.4,82.5,(±7.1),276,,NaN,75.8,67.6,82.4,(±7.4),228,,82.4,75.0,88.0,(±6.5),227,,NaN,77.7,71.1,83.2,(±6.1),273,,NaN,76.9,68.7,83.6,(±7.5),273,
FL-Duval County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,4.8,2.9,7.9,(±2.4),345,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
FL-Miami-Dade County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,8.6,5.4,13.4,(±3.9),285,,NaN,30.3,24.3,37.2,(±6.5),268,,NaN,53.4,45.0,61.7,(±8.4),264,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
FL-Orange County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,63.7,55.6,71.1,(±7.8),255,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
FL-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,4.8,2.9,7.9,(±2.4),291,,NaN,34.8,27.7,42.7,(±7.6),253,,NaN,67.0,59.3,73.8,(±7.3),237,,NaN,72.7,66.3,78.2,(±5.9),326,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Georgia,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,5.8,3.9,8.6,(±2.3),503,,NaN,8.5,6.5,11.2,(±2.3),568,,NaN,39.9,32.8,47.5,(±7.4),313,,NaN,78.8,71.9,84.4,(±6.2),299,,NaN,87.6,81.7,91.8,(±5),297,,NaN,90.0,85.0,93.4,(±4.1),306,,92.0,87.6,94.9,(±3.6),359,,NaN,91.8,86.2,95.2,(±4.4),284,,NaN,89.2,80.8,94.2,(±6.5),178,,90.3,83.7,94.4,(±5.2),270,,NaN,88.2,82.1,92.4,(±5.1),286,,NaN,91.2,86.8,94.3,(±3.7),274,
GA-Fulton/DeKalb Counties,,NaN,NaN,NA,,,NaN,4.4,2.4,7.7,(±2.5),311,,NaN,5.6,3.5,8.9,(±2.6),290,,NaN,18.1,11.5,27.2,(±7.8),228,,NaN,22.6,17.2,29.2,(±6),266,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
