Names,2002,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2003,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2004,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2005,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2006,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2007,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2008,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2009,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2010,LL,UL,CI,SAMPLE SIZE,TARGET,2011,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2012,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2013,LL,UL,CI,SAMPLE SIZE,TARGET,2014,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2015,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2016,LL,UL,CI,SAMPLE SIZE,TARGET
Nebraska,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,12.0,8.6,16.6,(±4),250,,NaN,46.3,38.3,54.4,(±8.1),214,,NaN,72.1,65.9,77.5,(±5.9),316,,NaN,77.3,70.6,82.8,(±6.1),247,,NaN,84.0,78.1,88.6,(±5.2),243,,89.3,84.0,93.0,(±4.4),275,,NaN,81.5,75.2,86.5,(±5.6),266,,NaN,86.3,80.6,90.5,(±4.9),241,,90.2,84.8,93.9,(±4.4),239,,NaN,93.4,89.8,95.8,(±3.0),231,,NaN,86.9,80.5,91.4,(±5.4),219,
Nevada,13.3,9.4,18.4,(±4.5),258,,NaN,33.5,27.6,40.0,(±6.2),282,,NaN,40.1,34.0,46.5,(±6.3),317,,NaN,41.0,35.0,47.3,(±6.2),347,,NaN,48.8,41.6,56.0,(±7.2),240,,NaN,68.6,61.3,75.1,(±6.9),232,,NaN,79.6,73.6,84.6,(±5.5),246,,NaN,80.1,74.1,84.9,(±5.4),320,,NaN,87.2,81.6,91.3,(±4.8),229,,86.5,78.5,91.8,(±6.5),305,,NaN,86.1,80.9,90.1,(±4.6),287,,NaN,89.9,85.6,93.0,(±3.7),298,,85.5,79.7,89.9,(±5.1),297,,NaN,90.2,84.5,94.0,(±4.6),214,,NaN,86.3,79.7,91.0,(±5.6),202,
NV-Clark County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,42.9,35.3,51.0,(±7.9),179,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
NV-Rest of State,13.3,9.4,18.4,(±4.5),258,,NaN,33.5,27.6,40.0,(±6.2),282,,NaN,40.1,34.0,46.5,(±6.3),317,,NaN,35.5,27.9,44.0,(±8.1),168,,NaN,48.8,41.6,56.0,(±7.2),240,,NaN,68.6,61.3,75.1,(±6.9),232,,NaN,79.6,73.6,84.6,(±5.5),246,,NaN,80.1,74.1,84.9,(±5.4),320,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
New Hampshire,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,23.6,17.5,31.0,(±6.8),199,,NaN,62.1,55.2,68.5,(±6.7),241,,NaN,76.4,69.7,81.9,(±6.1),236,,NaN,81.4,74.4,86.8,(±6.2),231,,77.4,70.4,83.2,(±6.4),244,,NaN,79.5,73.1,84.8,(±5.9),251,,NaN,79.8,72.9,85.3,(±6.2),226,,88.0,82.4,91.9,(±4.7),248,,NaN,85.6,79.0,90.4,(±5.7),195,,NaN,87.9,82.4,91.8,(±4.7),238,
New Jersey,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,9.9,6.4,15.1,(±4.3),553,,NaN,39.7,32.2,47.8,(±7.9),260,,NaN,61.6,54.6,68.1,(±6.8),322,,NaN,66.0,59.8,71.7,(±6),353,,NaN,70.1,63.7,75.7,(±6.0),332,,76.9,71.4,81.6,(±5.1),372,,NaN,81.0,75.2,85.7,(±5.2),285,,NaN,83.6,77.8,88.1,(±5.1),265,,81.6,75.5,86.5,(±5.5),262,,NaN,84.2,77.9,88.9,(±5.5),272,,NaN,81.1,74.7,86.3,(±5.8),268,
NJ-City of Newark,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,3.9,2.2,6.8,(±2.2),265,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
NJ-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,10.2,6.5,15.5,(±4.4),288,,NaN,39.7,32.2,47.8,(±7.9),260,,NaN,61.6,54.6,68.1,(±6.8),322,,NaN,66.0,59.8,71.7,(±6),353,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
New Mexico,11.9,7.9,17.5,(±4.8),259,,NaN,29.2,23.0,36.3,(±6.7),253,,NaN,31.6,25.7,38.2,(±6.3),325,,NaN,35.2,27.6,43.5,(±8),203,,NaN,38.1,32.9,43.6,(±5.3),506,,NaN,61.1,53.2,68.5,(±7.7),268,,NaN,71.1,64.1,77.2,(±6.6),280,,NaN,83.4,78.3,87.5,(±4.5),342,,NaN,80.9,75.5,85.3,(±4.9),318,,86.2,80.3,90.6,(±5.1),332,,NaN,85.9,79.9,90.3,(±5.2),282,,NaN,86.3,80.3,90.7,(±5.1),255,,88.1,81.6,92.5,(±5.4),280,,NaN,85.9,78.3,91.1,(±6.3),244,,NaN,88.6,83.0,92.5,(±4.7),249,
NM-Southern NM,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,45.0,38.2,51.9,(±6.9),270,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
NM-Rest of State,11.9,7.9,17.5,(±4.8),259,,NaN,29.2,23.0,36.3,(±6.7),253,,NaN,31.6,25.7,38.2,(±6.3),325,,NaN,35.2,27.6,43.5,(±8),203,,NaN,35.1,28.4,42.5,(±7.1),236,,NaN,61.1,53.2,68.5,(±7.7),268,,NaN,71.1,64.1,77.2,(±6.6),280,,NaN,83.4,78.3,87.5,(±4.5),342,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
New York,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,12.3,9.6,15.8,(±3.1),526,,NaN,33.4,28.8,38.3,(±4.8),542,,NaN,58.8,54.0,63.4,(±4.7),529,,NaN,62.1,56.9,67.1,(±5.1),452,,NaN,66.4,61.0,71.3,(±5.2),454,,73.0,68.4,77.2,(±4.4),586,,NaN,72.6,68.3,76.5,(±4.1),554,,NaN,82.0,77.4,85.8,(±4.2),468,,81.3,76.5,85.3,(±4.4),466,,NaN,80.9,76.6,84.5,(±4.0),566,,NaN,85.7,82.0,88.7,(±3.4),546,
NY-City of New York,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,5.1,2.8,9.1,(±3),205,,NaN,17.3,12.9,22.8,(±4.9),277,,NaN,38.1,32.1,44.5,(±6.2),311,,NaN,67.5,61.2,73.3,(±6.1),267,,NaN,69.5,62.2,76.0,(±6.9),219,,NaN,68.2,60.7,74.9,(±7.1),224,,73.7,67.4,79.2,(±5.9),312,,NaN,73.0,66.8,78.4,(±5.8),285,,NaN,81.6,75.2,86.7,(±5.7),242,,84.8,78.6,89.5,(±5.4),237,,NaN,81.2,75.0,86.2,(±5.6),291,,NaN,83.0,77.2,87.6,(±5.2),268,
NY-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,7.7,4.6,12.5,(±3.8),249,,NaN,28.9,22.3,36.6,(±7.2),231,,NaN,50.4,43.4,57.4,(±7),262,,NaN,55.1,47.5,62.4,(±7.5),233,,NaN,64.5,56.8,71.6,(±7.4),230,,72.4,65.5,78.4,(±6.5),274,,NaN,72.3,66.1,77.7,(±5.8),269,,NaN,82.4,75.3,87.8,(±6.2),226,,77.8,70.2,83.9,(±6.8),229,,NaN,80.5,74.3,85.5,(±5.6),275,,NaN,88.3,83.4,91.9,(±4.2),278,
North Carolina,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,5.3,3.0,9.1,(±2.9),241,,NaN,37.3,30.2,45.0,(±7.5),263,,NaN,67.8,61.5,73.5,(±6),318,,NaN,70.8,62.7,77.7,(±7.6),262,,NaN,79.8,74.3,84.4,(±5.1),310,,69.3,61.0,76.5,(±7.8),287,,NaN,79.5,72.8,84.9,(±6.0),286,,NaN,85.5,78.9,90.2,(±5.6),262,,88.3,81.5,92.8,(±5.6),269,,NaN,83.7,77.1,88.7,(±5.8),261,,NaN,85.5,78.7,90.4,(±5.8),267,
North Dakota,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,12.3,8.1,18.3,(±5),322,,NaN,55.8,49.0,62.4,(±6.7),249,,NaN,76.1,70.1,81.3,(±5.6),269,,NaN,88.3,82.7,92.3,(±4.7),206,,NaN,87.5,82.3,91.3,(±4.4),253,,88.7,81.0,93.5,(±6.1),247,,NaN,87.5,80.1,92.4,(±6.0),258,,NaN,87.4,82.0,91.3,(±4.6),303,,86.3,79.8,91.0,(±5.5),334,,NaN,91.9,87.5,94.8,(±3.6),234,,NaN,86.4,80.0,91.0,(±5.4),205,
Ohio,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,5.3,3.4,8.0,(±2.2),570,,NaN,29.1,23.5,35.4,(±6),290,,NaN,63.9,56.6,70.6,(±7.1),300,,NaN,67.7,60.6,74.1,(±6.8),280,,NaN,71.4,63.3,78.4,(±7.5),243,,73.0,65.4,79.4,(±7.1),284,,NaN,77.6,70.6,83.3,(±6.3),292,,NaN,76.1,69.1,82.0,(±6.4),249,,83.7,77.3,88.6,(±5.6),231,,NaN,79.9,71.5,86.2,(±7.4),219,,NaN,80.5,72.5,86.6,(±7),221,
OH-Cuyahoga County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,7.1,4.4,11.1,(±3.2),297,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
OH-Franklin County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
OH-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,5.1,3.1,8.2,(±2.5),273,,NaN,29.1,23.5,35.4,(±6),290,,NaN,63.9,56.6,70.6,(±7.1),300,,NaN,67.7,60.6,74.1,(±6.8),280,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Oklahoma,21.0,15.9,27.4,(±5.8),268,,NaN,36.5,29.8,43.8,(±7),268,,NaN,49.9,42.9,56.8,(±7),314,,NaN,41.9,35.4,48.7,(±6.7),279,,NaN,54.1,47.1,60.8,(±6.9),303,,NaN,74.0,67.3,79.8,(±6.3),270,,NaN,85.3,78.8,90.1,(±5.6),261,,NaN,90.1,85.7,93.3,(±3.7),306,,NaN,89.3,83.0,93.5,(±5.1),326,,89.3,83.6,93.2,(±4.7),303,,NaN,88.0,82.1,92.1,(±4.9),282,,NaN,88.0,83.3,91.5,(±4.1),301,,90.9,83.8,95.1,(±5.5),247,,NaN,93.2,86.3,96.7,(±4.9),220,,NaN,85.6,78.9,90.4,(±5.7),216,
Oregon,4.8,3.0,7.9,(±2.4),283,,NaN,22.1,17.0,28.2,(±5.6),262,,NaN,21.5,16.3,27.8,(±5.8),279,,NaN,22.4,16.7,29.3,(±6.3),203,,NaN,44.5,37.2,52.0,(±7.4),220,,NaN,60.9,53.0,68.4,(±7.8),214,,NaN,81.1,73.8,86.8,(±6.5),224,,NaN,83.0,77.4,87.4,(±5),316,,NaN,87.5,82.3,91.3,(±4.4),273,,84.0,77.1,89.1,(±6.0),296,,NaN,84.9,78.8,89.4,(±5.3),296,,NaN,86.6,81.0,90.7,(±4.8),275,,82.3,75.0,87.8,(±6.4),239,,NaN,91.8,86.9,95.0,(±4.0),192,,NaN,86.4,80.8,90.5,(±4.8),256,
Pennsylvania,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,12.1,9.0,16.1,(±3.5),754,,NaN,46.7,41.6,51.9,(±5.2),552,,NaN,72.3,66.6,77.3,(±5.4),609,,NaN,76.2,70.4,81.1,(±5.3),509,,NaN,79.2,74.5,83.3,(±4.4),562,,85.5,81.4,88.9,(±3.7),671,,NaN,80.0,74.4,84.6,(±5.1),594,,NaN,84.5,79.3,88.7,(±4.7),585,,82.8,77.3,87.2,(±4.9),644,,NaN,86.1,80.7,90.2,(±4.7),575,,NaN,87.4,82.1,91.3,(±4.6),567,
PA-Allegheny County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,12.9,8.4,19.3,(±5.4),290,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
PA-Philadelphia,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,10.4,6.8,15.5,(±4.3),210,,NaN,54.0,45.9,61.8,(±8),209,,NaN,79.3,74.0,83.8,(±4.9),320,,NaN,81.4,75.5,86.2,(±5.3),261,,NaN,83.0,77.2,87.6,(±5.2),268,,86.2,80.2,90.6,(±5.2),290,,NaN,85.8,79.4,90.4,(±5.5),274,,NaN,91.7,86.4,95.1,(±4.2),267,,92.5,86.0,96.1,(±4.8),276,,NaN,93.9,90.1,96.3,(±3.0),272,,NaN,93.4,88.0,96.5,(±4.1),240,
PA-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,12.4,8.5,17.7,(±4.5),254,,NaN,45.4,39.5,51.4,(±5.9),343,,NaN,71.0,64.3,76.8,(±6.3),289,,NaN,75.2,68.5,80.9,(±6.2),248,,NaN,78.5,73.0,83.2,(±5.1),294,,85.4,80.5,89.2,(±4.3),381,,NaN,78.9,72.2,84.2,(±6.0),320,,NaN,83.1,76.8,87.9,(±5.5),318,,80.9,74.4,86.0,(±5.8),368,,NaN,84.6,78.2,89.4,(±5.6),303,,NaN,86.3,79.9,90.8,(±5.4),327,
Rhode Island,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,16.0,12.1,21.0,(±4.4),303,,NaN,64.3,55.9,72.0,(±8.1),238,,NaN,79.2,72.0,84.9,(±6.4),224,,NaN,85.4,79.1,90.0,(±5.4),307,,NaN,87.0,81.0,91.3,(±5.1),231,,80.9,74.2,86.1,(±5.9),367,,NaN,88.2,82.9,92.0,(±4.5),293,,NaN,91.9,86.8,95.1,(±4.1),207,,93.2,87.5,96.5,(±4.3),207,,NaN,93.1,88.3,96.0,(±3.7),272,,NaN,91.4,86.4,94.6,(±4),239,
South Carolina,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,6.4,3.7,10.9,(±3.5),330,,NaN,33.6,28.3,39.4,(±5.5),364,,NaN,63.5,56.8,69.6,(±6.5),345,,NaN,73.7,67.2,79.3,(±6.1),257,,NaN,72.2,65.9,77.8,(±6.0),300,,75.6,68.6,81.5,(±6.5),269,,NaN,82.1,75.4,87.3,(±5.9),299,,NaN,83.6,76.0,89.1,(±6.5),207,,81.8,73.6,87.9,(±7.1),249,,NaN,81.8,75.2,87.0,(±5.9),259,,NaN,89.2,83.9,92.9,(±4.4),282,
South Dakota,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,9.4,5.8,14.8,(±4.4),262,,NaN,6.8,4.4,10.6,(±3),296,,NaN,35.3,28.4,42.9,(±7.3),247,,NaN,57.1,50.5,63.5,(±6.5),305,,NaN,65.8,58.8,72.1,(±6.7),230,,NaN,60.1,53.2,66.7,(±6.7),285,,59.7,49.5,69.1,(±9.9),254,,NaN,71.4,65.1,77.0,(±6.0),275,,NaN,78.1,70.8,83.9,(±6.6),189,,79.1,70.9,85.5,(±7.3),199,,NaN,77.6,70.3,83.5,(±6.6),219,,NaN,84.1,78.3,88.6,(±5.2),262,
Tennessee,,NaN,NaN,NA,,,NaN,2.2,1.3,3.6,(±1.1),892,,NaN,2.0,1.3,3.1,(±0.9),818,,NaN,3.7,2.4,5.6,(±1.6),713,,NaN,17.8,13.1,23.7,(±5.3),543,,NaN,53.9,46.1,61.5,(±7.8),271,,NaN,79.8,73.5,84.8,(±5.6),335,,NaN,79.0,73.1,83.9,(±5.4),339,,NaN,84.6,79.1,88.8,(±4.8),277,,89.8,85.2,93.1,(±3.9),297,,NaN,87.6,81.7,91.8,(±5.0),303,,NaN,90.2,84.5,94.0,(±4.6),260,,91.8,86.8,95.1,(±4.0),273,,NaN,89.0,82.6,93.2,(±5.2),210,,NaN,86.5,80.4,90.9,(±5.2),237,
TN-Davidson County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
TN-Shelby County,,NaN,NaN,NA,,,NaN,11.3,6.9,18.0,(±5.4),330,,NaN,11.0,7.2,16.5,(±4.6),286,,NaN,14.5,9.3,21.7,(±6.1),259,,NaN,25.8,19.8,32.9,(±6.5),304,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
TN-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,16.0,10.7,23.4,(±6.3),239,,NaN,53.9,46.1,61.5,(±7.8),271,,NaN,79.8,73.5,84.8,(±5.6),335,,NaN,79.0,73.1,83.9,(±5.4),339,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Texas,11.5,8.8,14.8,(±3),1345,,NaN,21.0,18.1,24.2,(±3.1),1417,,NaN,23.2,20.0,26.8,(±3.4),1453,,NaN,40.8,36.2,45.7,(±4.8),1199,,NaN,53.3,49.0,57.5,(±4.3),1422,,NaN,74.1,69.6,78.1,(±4.3),1432,,NaN,84.5,79.8,88.2,(±4.2),1377,,NaN,86.9,83.2,89.9,(±3.3),1265,,NaN,89.5,86.8,91.8,(±2.5),1379,,91.0,87.6,93.5,(±2.9),1682,,NaN,85.9,82.7,88.6,(±2.9),1735,,NaN,90.1,86.3,93.0,(±3.3),1044,,89.0,85.2,91.9,(±3.3),1299,,NaN,90.7,87.3,93.2,(±2.9),1500,,NaN,89.8,86.4,92.4,(±2.9),1305,
TX-Bexar County,14.9,10.5,20.8,(±5.1),273,,NaN,41.2,34.4,48.3,(±7),257,,NaN,42.0,35.0,49.3,(±7.2),265,,NaN,44.9,37.3,52.7,(±7.8),218,,NaN,51.0,43.3,58.7,(±7.8),249,,NaN,73.9,67.5,79.4,(±6),313,,NaN,86.3,80.1,90.7,(±5.2),288,,NaN,83.3,76.5,88.4,(±5.9),242,,NaN,88.9,83.7,92.5,(±4.4),319,,87.4,81.7,91.5,(±4.8),349,,NaN,91.6,87.3,94.6,(±3.6),281,,NaN,87.8,81.4,92.1,(±5.3),228,,93.7,89.8,96.2,(±3.1),294,,NaN,90.0,84.3,93.8,(±4.6),224,,NaN,92.0,86.2,95.5,(±4.5),213,
TX-City of Houston,13.8,9.4,19.7,(±5.1),227,,NaN,31.2,25.2,38.0,(±6.4),281,,NaN,29.2,23.5,35.6,(±6.1),303,,NaN,46.7,39.8,53.8,(±7),252,,NaN,54.9,48.3,61.4,(±6.6),287,,NaN,76.9,71.3,81.7,(±5.2),320,,NaN,85.7,79.9,90.1,(±5.1),269,,NaN,88.7,83.4,92.4,(±4.4),233,,NaN,91.8,86.6,95.1,(±4.2),277,,93.5,89.0,96.3,(±3.5),314,,NaN,90.8,84.2,94.8,(±5.2),268,,NaN,91.5,84.7,95.4,(±5.2),204,,93.1,87.0,96.4,(±4.5),255,,NaN,89.6,83.5,93.5,(±4.9),214,,NaN,95.8,91.1,98.1,(±3.2),173,
TX-Dallas County,8.6,5.8,12.7,(±3.4),289,,NaN,26.9,21.9,32.6,(±5.3),311,,NaN,34.0,28.1,40.5,(±6.2),283,,NaN,40.7,32.5,49.5,(±8.6),168,,NaN,51.5,43.5,59.4,(±8),208,,NaN,73.0,66.3,78.9,(±6.3),276,,NaN,80.1,74.0,85.1,(±5.5),299,,NaN,82.5,75.1,88.0,(±6.4),235,,NaN,87.8,82.2,91.8,(±4.8),252,,87.5,81.7,91.6,(±4.9),320,,NaN,85.9,79.2,90.7,(±5.7),322,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.9,84.4,94.9,(±5.1),186,
